2006-11-28 | 27 | 13 | 10 | EPADBDM | COMUNICADO 55/06-SMS.3
ACOMPANHAMENTO DA EVOLUCAO DOS PRECOS REGISTRADOS, PARA FINS DO DISPOSTO NO ART. 14 DO DEC. 46.662, DE 24/11/05:
ATAS DE REGISTRO DE PRECOS - SMS.G - NOVEMBRO/06
ATA	ITEM	OBJETO	PRECO/R$
129/06	7	SONDA URETRAL CALIBRE N° 16 - PAC. C/ 20 UN	0,3240/UN
129/06	3	SONDA URETRAL CALIBRE N° 8 - PAC. C/ 20 UN	0.2170/UN
130/05	3	COMPLEXO VITAMINICO SOLUCAO ORAL - FR. C/ 20 ML	3,5859/FR
130/06	1	ASS.HIDROX.FERRICO E ISOMAL.50MG/ML-CX. 5AMP.2ML+5AG.	7,20/AMP
131/06	2	SULFATO DE MORFINA 10MG - CX. C/ 50 CP	0,11/CP
131/06	3	SULFATO DE MORFINA 30MG - CX. C/ 50 CP	0,255/CP
132/05	1	TUBO COL.SANGUE A VACUO-ROLHA AZUL CLARO-CX.C/100	0,40/UN
132/06	1	METOCLOPRAMIDA 4MG/ML - FR. C/ 10 ML	0,3780/FR
133/05	1	LUBRIFICANTE P/ CANETA ALTA E BAIXA ROTACAO-FR. 200ML	0,135/ML
133/06	2	METOCLOPRAMIDA 10MG - CX. C/ 500 CP	0,0220/CP
134/05	3	CLORETO SODIO SOL. INJ. 0,9% - FR.1000ML - CX.C/ 12 FR.	1,24/FR
134/05	2	GLICOSE SOL. INJ. 5%-FR. 500ML - CX. C/ 24 FR.	0,80/FR
134/06	4	BROMOPRIDA 4MG/ML - FR. C/ 20 ML	0,83/FR
135/05	4	CLOR. SODIO SOL.INJ.0,9%SIST.FECH.100ML-CX.60 BOLSAS	1,55/BOLSA
135/05	5	CLOR. SODIO SOL.INJ.0,9%SIST.FECH.250ML-CX.40 BOLSAS	1,60/BOLSA
135/06	3.1	BROCA DE ACO CARBIDE ALTA ROTACAO N° 2	3,93/UN
135/06	3.2	BROCA DE ACO CARBIDE ALTA ROTACAO N° 2	3,93/UN
135/06	3.3	BROCA DE ACO CARBIDE ALTA ROTACAO N° 2	3,93/UN
135/06	3.4	BROCA DE ACO CARBIDE ALTA ROTACAO N° 2	3,93/UN
135/06	3.5	BROCA DE ACO CARBIDE ALTA ROTACAO N° 2	3,93/UN
136/06	1.1	BROCA DIAMANTADA P/ PREPARO CAVITARIO N° 1011	1,23/UN
136/06	1.2	BROCA DIAMANTADA P/ PREPARO CAVITARIO N° 1013	1,23/UN
136/06	1.3	BROCA DIAMANTADA P/ PREPARO CAVITARIO N° 1015	1,23/UN
136/06	1.4	BROCA DIAMANTADA P/ PREPARO CAVITARIO N° 1019	1,23/UN
136/06	1.5	BROCA DIAMANTADA P/ PREPARO CAVITARIO N° 1031	1,23/UN
136/06	1.6	BROCA DIAMANTADA P/ PREPARO CAVITARIO N° 1032	1,23/UN
136/06	1.7	BROCA DIAMANTADA P/ PREPARO CAVITARIO N° 1035	1,23/UN
136/06	1.8	BROCA DIAMANTADA P/ PREPARO CAVITARIO N° 1046	1,23/UN
136/06	1.9	BROCA DIAMANTADA P/ PREPARO CAVITARIO N° 1062	1,23/UN
136/06	1.10	BROCA DIAMANTADA P/ PREPARO CAVITARIO N° 1065	1,23/UN
136/06	1.11	BROCA DIAMANTADA P/ PREPARO CAVITARIO N° 1091	1,23/UN
136/06	1.12	BROCA DIAMANTADA P/ PREPARO CAVITARIO N° 1095	1,23/UN
136/06	1.13	BROCA DIAMANTADA P/ PREPARO CAVITARIO N° 1302	1,23/UN
136/06	1.14	BROCA DIAMANTADA P/ PREPARO CAVITARIO N° 1312	1,23/UN
136/06	1.15	BROCA DIAMANTADA P/ PREPARO CAVITARIO N° 1343	1,23/UN
136/06	1.16	BROCA DIAMANTADA P/ PREPARO CAVITARIO N° 2135	1,23/UN
136/06	5.1	BROCA P/ ACABAMENTO FINO DE RESINA N° 2135 F	1,23/UN
136/06	5.2	BROCA P/ ACABAMENTO FINO DE RESINA N° 3118 F	1,23/UN
136/06	4.1	BROCA P/ ACABAMENTO RESINA N° 1190 FF	1,23/UN
136/06	4.2	BROCA P/ ACABAMENTO RESINA N° 3118 FF	1,23/UN
136/06	4.3	BROCA P/ ACABAMENTO RESINA N° 3195 FF	1,23/UN
137/06	1	FITA ADESIVA HOSPITALAR  - CX. C/ 48 UN	1,26/UN
138/05	4	TEOFILINA LIB. PROLONGADA  CAP. 100MG - CX. C/ 20 CAP.	0,28/CAP
138/05	5	TEOFILINA LIB. PROLONGADA  CAP. 200MG - CX. C/ 20 CAP.	0,3950/CAP
138/06	3	ATADURA DE CREPE 10CMX180CM - PAC. C/ 12 ROLOS	0,2450/RL
138/06	1	ATADURA DE CREPE 6CMX180CM - PAC. C/ 12 ROLOS	0,1399/RL
138/06	2	ATADURA DE CREPE 8CMX180CM - PAC. C/ 12 ROLOS	0,1897/RL
139/05	1	ACIDO ACETILSALICILICO 100MG-CP - CX. C/ 500 CP	0,0099/CP
139/06	4	ATADURA DE CREPE 15CMX180CM 	0,3468/RL
139/06	5	ATADURA DE CREPE 25CMX180CM 	0,57/RL
139/06	6	ATADURA DE CREPE 30CMX180CM	0,68/RL
140/05	2	BROMAZEPAM 3MG CP - CX. C/ 20 CP	0,08/CP
140/06	1	AGULHA CALIBRE 22G X 1 1/2" - CX. C/ 25 UN	6,7392/UN
140/06	9	KIT ANALG.AG. WEISS PONTA TUHOY CALIBRE 18G-CX.C/25UN	33,00/UN
141/05	4	METILDOPA 250MG-CP - CX. C/ 500 CP	0,0662/CP
141/06	6	AGULHA PERIDURAL PONTA TUHOY 16 OU 17 G X 3 1/2"-CX.25	8,9999/UN
141/06	7	AGULHA PERIDURAL PONTA TUHOY 18 G X 3 1/2"-CX.C/ 25 UN	8,9999/UN
141/06	8	AGULHA PERIDURAL PONTA TUHOY 20G X 31/2" - CX. C/ 25 UN	8,9999/UN
141/06	4	AGULHA RAQUI PONTA LAPIS 25G X 3 1/2" - CX. C/ 25 UN	11,6999/UN
141/06	5	AGULHA RAQUI PONTA LAPIS 27G X 3 1/2" - CX. C/ 25 UN	11,5999/UN
141/06	2	AGULHA RAQUI PONTA QUINCKE 22G X 3 1/2" - CX. C/ 25 UN	5,7999/UN
141/06	3	AGULHA RAQUI PONTA QUINCKE 25G X 3 1/2" - CX. C/ 25 UN	5,4999/UN
142/05	6	ESTREPTOQUINASE SOL INJ. 1.500.000 UI - FAM 	112,00/FAM
142/05	3	HALOPERIDOL 5MG - CX. C/ 200 CP	0,019/CP
142/06	1	LUVA CIRURGICA, ESTERIL, DESC. N° 6,5 - CX. C/ 200 PARES	0,53/PAR
142/06	2	LUVA CIRURGICA, ESTERIL, DESC. N° 7,0 - CX. C/ 200 PARES	0,53/PAR
142/06	3	LUVA CIRURGICA, ESTERIL, DESC. N° 7,5 - CX. C/ 200 PARES	0,53/PAR
142/06	4	LUVA CIRURGICA, ESTERIL, DESC. N° 8,0 - CX. C/ 200 PARES	0,53/PAR
142/06	5	LUVA CIRURGICA, ESTERIL, DESC. N° 8,5 - CX. C/ 200 PARES	0,53/PAR
143/06	1	CARBAMAZEPINA 20MG/ML - FR. C/ 100ML	4,2727/FR
144/05	1	ESPATULA DE AYRES - PAC. C/ 100 UN	1,77/PAC
144/06	3	FENITOINA 20MG/ML - CX. C/ 01 FR 120ML	3,72/FR
145/05	1	LENCOL DESCARTAVEL C/ ELASTICO P/ CAMA - PAC. C/ 50 UN	0,80/UN
145/05	2	LENCOL DESCARTAVEL C/ ELASTICO P/ MACA - PAC. C/ 50 UN	0,575/UN
145/06	4	METRONIDAZOL 5MG/ML - FAM. C/ 100ML	0,63/FAM
146/05	1	FRALDA DESCARTAVEL ADULTO - PEQUENA - PAC. C/ 08 UN	0,59/UN
146/06	5	TINIDAZOL 500MG - CX. C/ 08 CP	0,1380/CP
147/05	1-B	LEVOTIROXINA SODICA  50MCG - BLISTER C/ 50 CP	0,0642/CP
147/05	1-A	LEVOTIROXINA SODICA 100MCG - BLISTER C/ 50 CP	0,1285/CP
147/06	1.10	COPIA COLORIDA FORMATO A-3 (COM OPERADOR)	3,53/UN
147/06	1.4	COPIA COLORIDA FORMATO A-3 (SEM OPERADOR)	1,20/UN
147/06	1.9	COPIA COLORIDA FORMATO A-4 (COM OPERADOR)	2,56/UN
147/06	1.3	COPIA COLORIDA FORMATO A-4 (SEM OPERADOR)	0,90/UN
147/06	1.8	COPIA MONOCROMATICA FORMATO A-3 (COM OPERADOR)	0,35/UN
147/06	1.2	COPIA MONOCROMATICA FORMATO A-3 (SEM OPERADOR)	0,12/UN
147/06	1.7	COPIA MONOCROMATICA FORMATO A-4 (COM OPERADOR)	0,28/UN
147/06	1.1	COPIA MONOCROMATICA FORMATO A-4 (SEM OPERADOR)	0,09/UN
147/06	2.2	DIAGRAMACAO	126,00/UN
147/06	2.1	DIGITALIZACAO DE IMAGEM	42,00/UN
147/06	1.16	ENCADERNACAO C/ ESPIRAL 14 A 20MM	1,80/UN
147/06	1.17	ENCADERNACAO C/ ESPIRAL 25 A 35MM	1,80/UN
147/06	1.18	ENCADERNACAO C/ ESPIRAL 40 A 50MM	1,80/UN
147/06	1.15	ENCADERNACAO C/ ESPIRAL 7 A 12MM	1,80/UN
147/06	2.3	FOTOLITO	0,10/CM²
147/06	1.19	PLASTIFICACAO FORMATO A-4	1,80/UN
147/06	1.20	PLASTIFICACAO FORMATO A-5	1,00/UN
147/06	1.21	PLASTIFICACAO FORMATO R.G.	1,00/UN
147/06	1.14	PLOTAGEM COLORIDA EM SULFITE	0,17/M
147/06	1.13	PLOTAGEM MONOCROMATICA EM SULFITE	0,10/M
147/06	1.12	TRANSPARENCIA COLORIDA A-4 (COM OPERADOR)	2,50/UN
147/06	1.6	TRANSPARENCIA COLORIDA A-4 (SEM OPERADOR)	1,80/UN
147/06	1.11	TRANSPARENCIA MONOCROMATICA A-4 (COM OPERADOR)	1,50/UN
147/06	1.5	TRANSPARENCIA MONOCROMATICA A-4 (SEM OPERADOR)	1,40/UN
148/05	3	ASSOC. DE SULFAMET. 80MG/ML E TRIMET. 16MG/ML-AMP.5ML	0,465/AMP
148/06	1	DINITRATO DE ISOSSORBIDA 10MG - CX. C/ 500 CP	0,0270/CP
149/05	4	HIDROCORTISONA INJ. 100MG - CX. C/ 50 FAM+DIL. 2ML	1,20/FAM
149/05	5	HIDROCORTISONA INJ. 500MG - CX. C/ 50 FAM+DIL. 2ML	3,15/FAM
149/06	4	HALOPERIDOL 1MG - CX. C/ 200 CP	0,0172/CP
150/05	1	DROPERIDOL SOL. INJ. 2,5MG/ML - CX. C/ 50 AMP. 01 ML	4,74/AMP
150/06	6	ALBENDAZOL 200MG - CX. C/ 200 CP	0,1180/CP
151/06	4	CONDENSADOR DE ALMALGAMA TIPO HOLLENBACK N° 01	2,68/UN
151/06	5	CONDENSADOR DE ALMALGAMA TIPO HOLLENBACK N° 02	2,68/UN
151/06	6	CONDENSADOR DE ALMALGAMA TIPO HOLLENBACK N° 03	2,68/UN
151/06	7	CONDENSADOR DE ALMALGAMA TIPO HOLLENBACK N° 04	2,68/UN
152/06	2	BRUNIDOR N° 29	2,98/UN
152/06	3	BRUNIDOR N° 33	2,98/UN
152/06	9	CONDENSADOR DE AMALGAMA TIPO HOLLEMBACH N° 06	2,68/UN
152/06	8	CONDENSADOR DE AMALGAMA TIPO HOLLEMBACH N°05	2,98/UN
152/06	11	ESCULPIDOR HOLLEMBACH N° 03	2,98/UN
152/06	12	ESCULPIDOR HOLLEMBACH N° 03S	2,98/UN
152/06	13	ESPATULA DUPLA P/ CIMENTO N° 72	3,18/UN
152/06	15	PORTA MATRIZ TIPO TOOFFLEMAYER	14,68/UN
153/05	1	FENOBARBITAL  SOL. ORAL 40MG/ML - CX. C/ 10 FR. 20ML	0,91/FR
153/06	1	APLICADOR P/ CIMENTO HIDROXIDO DE CALCIO	3,62/UN
153/06	10	CONDENSADOR DE ALMALGAMA TIPO HOLLENBACK N° 07	3,62/UN
154/06	1	BROMIDRATO DE FENOTEROL 5MG/ML - CX. C/ 01 FR. 20 ML	1,39/FR
155/05	3	MALEATO DE DEXCLORFENIRAMINA C/ 2MG - CP CX C/500 CP	0,0239/CP
155/06	4	BESILATO ATRACURIO 10MG/ML - CX. C/ 25 AMP. 5 ML	4,808/AMP
155/06	3	DANTROLENO SODICO 20MG-KIT C/ 3 CX. C/ 12 FAM+DIL.	91,80/FAM
155/06	2	SULFATO EFEDRINA 50MG/ML - CX. C/ 100 AMP. 1 ML	0,65/AMP
156/06	5	LORATADINA 10MG - CX. C/ 480 CP	0,0507/CP
157/05	5	ACIDO ACETILSALICILICO CP 500MG - CX. C/ 500 CP	0,0258/CP
157/06	1	SERINGA PLASTICA DESCARTAVEL 10ML - CX. C/ 100 UN	0,1565/UN
158/05	2	BOLSA PARA COLOSTOMIA INFANTIL	5,40/UN
158/05	1	BOLSA PARA COLOSTOMIA P/ ADULTO	4,15/UN
158/06	1.1	CADEIRA ODONTOLOGICA	2.181,25/UN
158/06	1.3	EQUIPO ODONTOLOGICO	617,00/UN
158/06	1.4	MOCHO	198,25/UN
158/06	1.2	REFLETOR ODONTOLOGICO	428,10/UN
158/06	1.5	UNIDADE AUXILIAR	340,00/UN
159/05	3	BOLSA PARA OSTOMA URINARIO INFANTIL	7,85/UN
159/06	2.1	CANETA DE ALTA ROTACAO	151,00/UN
159/06	2.2	CONTRA ANGULO	139,00/UN
159/06	2.3	MICROMOTOR OU MOTOR DE BAIXA ROTACAO	221,00/UN
159/06	2.4	PECA RETA DE MAO	203,29/UN
160/05	4	CLIP P/ FECHAMENTO BOLSAS OSTOMAS DRENAVEIS	1,73/UN
160/06	1	GLUTARAL A 2% - CX. C/ 4 FR. 500 ML	7,87/FR
161/05	1	COLETOR DE URINA SISTEMA ABERTO	1,42/UN
161/06	1	NITROPUSSETO DE SODIO 50MG - CX. C/ 25 FAM	3,00/FAM
162/06	2	BROMETO DE IPRATROPIO 0,25MG/ML - CX. C/01 FR. 20 ML	1,179/FR
163/05	4	CLORID. DE NORTRIPTILINA 25MG/CAP - EMBAL. C/20 CAP.	0,2399/CAP
163/05	5	CLORID. DE SERTRALINA 50MG/CP - EMBAL. C/20 CP	0,1337/CP
163/06	3	ESCOPOLAMINA 20MG/ML - CX. C/ 100 AMP. 1 ML	0,36/AMP
164/05	2	CIMENTO CIRURGICO - LIQUIDO - FR. C/ 20ML	6,40/FR
164/05	1	CIMENTO CIRURGICO - PO - FR. C/ 50 G	6,40/FR
164/06	4	ACIDO ASCORBICO(VITAMINAC) 100MG/ML- CX. C/100 AMP.5ML	0,3199/AMP
165/05	1	ABSORVENTE HIGIENICO  HOSPITALAR - PAC.C/ 20 UN	0,185/UN
165/06	1	FIO SINT.MULTIF.TRAN.5-0,AG.1,5CM 1/2CIRC.CILIND-CX.36ENV	6,50/ENV
165/06	2	FIO SINT.MULTIF.TRAN.5-0,AG.1,5CM 1/2CIRC.TRIAN-CX.12ENV	7,30/ENV
165/06	3	FIO SINT.MULTIF.TRAN.6-0,AG.1,5CM1/2CIRC.CILIN-CX.C/36ENV	6,50/ENV
165/06	5	FIO SINT.MULTIF.TRAN.8-0,2AG.0,65CM,3/8CIRC.ESP-CX.C/12	24,99/ENV
166/05	1	AMOXICILINA 50MG/ML SUSP. - CX C/ 50 FR.150 ML	2,33/FR
166/05	3	NISTATINA 100.000 UI/ML SUSP. ORAL  - CX C/ 50 FR. 50 ML	1,6656/FR
166/06	4	FIO SINT.MULTIF.TRAN.6-0,2AG.0,65CM,1/4CIRC.ESP-CX.C/12	33,65/ENV
167/05	2	CEFALEXINA 500MG - CP - CX. C/ 200 CP	0,1327/CP
167/06	3	CLORETO POTASSIO 191MG/ML - CX. C/ 200 AMP. 10 ML	0,15/AMP
167/06	2	FUROSEMIDA 10MG/ML - CX. C/ 50 AMP. 2ML	0,215/AMP
168/05	4	CEFOTAXIMA SODICA 1000MG - CX. C/ 50 FAM+DIL.	1,81/FAM
168/06	4	CLORIDRATO DE ALFENTANILA 0,544MG/ML-CX.C/10 AMP 5ML	9,50/AMP
169/05	13	CONF.CARTAZ 420X620MM  4 X 0 CORES 	0,400/UN
169/05	9	CONF.FOLHETO EDUCATIVO-1  4X4 CORES	0,02/UN
169/05	10	CONF.FOLHETO EDUCATIVO-2  4X4 CORES	0,0498/UN
169/05	11	CONF.FOLHETO EDUCATIVO-3  4X0 CORES	0,0299/UN
169/05	3	CONF.MANUAL-1 150X210MM FECH. E 300X210MM ABERTO	1,173/UN
169/05	1	CONF.REVISTA-1 297X210MM FECH. E 297X420MM ABERTO	0,2860/UN
169/06	5	ACETATO  METROXIPROGEST. 150MG/ML - CX. C/01FAM.1ML	8,25/FAM
170/06	1	CAIXA TIPO CORTE E VINCO - 180X135X90MM - EMB.C/40 CX.	0,68/UN
170/06	2	CAIXA TIPO CORTE E VINCO - 270X180X90MM - EMB.C/40 CX.	0,97/UN
171/06	2	COMPRESSA DE GAZE  ESTERIL 7,5CMX7,5CM - PAC. C/ 10 UN	0,18/ENV
171/06	1	COMPRESSA DE GAZE ESTERIL 7,5CMX7,5CM - PAC. C/ 05 UN	0,1155/ENV
172/05	1	ALGODAO HIDROFILO EM BOLAS - CX. C/ 30 PAC.	1,17/PAC
172/06	1	AMOXICILINA 500MG - CX C/ 200 CP	0,0840/CAP
173/05	1	FIO CATGUT SIMPLES - CX. C/ 24 ENV.	1,94/UN
173/06	2	CLORIDRATO DE CLINDAMICINA 300MG - CX. C/ 20 CAP	0,30/CAP
174/05	1	FOLINATO CALCIO 15MG-CP - CX. C/ 100 CP	0,42/CP
174/06	3	MEROPENEM 500MG - CX. C/ 10 FAM	23,35/FAM
175/05	2	FOLINATO CALCIO 50MG-FAM - EMB. C/ 01 FAM	6,10/FAM
175/06	4	TEICOPLANINA 400MG - CX. C/ 01 FAM 3 ML	37,68/FAM
176/06	5	AZITROMICINA 500MG - CX. C/ 3 CP	0,45/CP
177/06	3	DISPOSITIVO P/ INCONTINENCIA URINARIAO - G	0,71/UN
177/06	2	DISPOSITIVO P/ INCONTINENCIA URINARIAO - M  	0,71/UN
177/06	1	DISPOSITIVO P/ INCONTINENCIA URINARIAO - P  	0,71/UN
178/06	1	ASS.ESCOPOL.6,67MG/ML E DIPIR.333,4MG/ML-CX.C/1 FR 20ML	1,46/FR
179/06	4	ACIDO NALIDIXICO 500MG - CX. C/ 56 CP	0,7399/CP
179/06	3	VITAMINA DO COMPLEXO B - CX. C/ 01 FR. C/ 100 ML	1,76/FR
180/06	3	CLORIDRATO DE CIPROFLOXACINO 500MG - CX. C/ 14 CP	0,1126/CP
181/05	1	BOLSA SIMP.OSTOMA INTEST.13X22CM-DIAM.35MM-EMB 10 UN	0,25/UN
181/05	2	BOLSA SIMP.OSTOMA INTEST.14X24CM-DIAM.50MM-EMB 10 UN	0,28/UN
181/05	3	BOLSA SIMP.OSTOMA INTEST.14X24CM-DIAM.65MM-EMB 10 UN	0,30/UN
181/06	4	ASS.SULF.NEOM.5MG/G E ACET.CLOST.5MG/G-CX.C/1BNG 40G	11,30/BNG
182/05	4	MALHA TUBULAR 10CM X 25M - CX. C/ 40 ROLOS	4,78/RL
182/05	6	MALHA TUBULAR 15CM X 25M - CX. C/ 40 ROLOS	7,29/RL
182/05	7	MALHA TUBULAR 20CM X 25M - CX. C/ 40 ROLOS	8,79/RL
182/05	8	MALHA TUBULAR 30CM X 25M - CX. C/ 40 ROLOS	12,50/RL
182/05	1	MALHA TUBULAR 4CM X 25M - CX. C/ 40 ROLOS	3,00/RL
182/05	2	MALHA TUBULAR 6CM X 25M - CX. C/ 40 ROLOS	3,48/RL
182/05	3	MALHA TUBULAR 8CM X 25M - CX. C/ 40 ROLOS	3,95/RL
182/06	1	BISTURI DESCARTAVEL N° 11 - CX. C/ 50 UN	0,485/UN
183/05	5	MALHA TUBULAR 12CM X 25M 	5,50/RL
183/06	2	BISTURI DESCARTAVEL N° 21 - CX. C/ 500 UN	0,485/UN
184/05	1	CREME DENTAL COM FLUOR - TUBO C/ 90G	0,6499/TB
184/06	1	ROLETE DE ALGODAO - PAC. C/ 100 UN	0,59/PAC
185/05	1	ATROPINA SOL.OFTALMICA EST. 10MG/ML - FR. C/ 5ML	4,70/FR
185/05	5	CLORID.CIPROFLOXACINO POM.OFTAL. 3MG/G - BNG. C/ 3,5G	9,75/BNG
185/06	1	VARFARINA SODICA 5MG - CX. C/ 10 CP	0,21/CP
186/05	2	MALEATO TIMOLOL SOL. OFTAL. 5MG/ML - CX.C/01 FR 05ML	2,42/FR
186/06	1	DETERGENTE E DESIN. ENZIMATICO-CX.C/ 04 GAL. C/ 4.000ML	91,00/L
187/06	1	ESPELHO BUCAL PLANO N° 05 - CX. C/ 12 UN	1,95/UN
187/06	2	FIO DENTAL - ESTOJO C/ 100 METROS	1,6967/RL
188/06	1	SONDA ASPIRACAO TRAQUEAL, CALIBRE N° 04-CX. C/ 100 UN	0,457/UN
188/06	6	SONDA ASPIRACAO TRAQUEAL, CALIBRE N° 14-CX. C/ 100 UN	0,49/UN
188/06	8	SONDA ASPIRACAO TRAQUEAL, CALIBRE N° 18-CX. C/ 100 UN	0,50/UN
189/06	2	SONDA ASPIRACAO TRAQUEAL, CALIBRE N° 06 - CX. C/100 UN	0,463/UN
189/06	5	SONDA ASPIRACAO TRAQUEAL, CALIBRE N° 12 - CX. C/100 UN	0,495/UN
190/05	1	LAMINAS PARA BISTURI N° 10  - CX. C/ 100 UN	0,108/UN
190/05	2	LAMINAS PARA BISTURI N° 11  - CX. C/ 100 UN	0,108/UN
190/05	3	LAMINAS PARA BISTURI N° 15  - CX. C/ 100 UN	0,108/UN
190/05	4	LAMINAS PARA BISTURI N° 21  - CX. C/ 100 UN	0,108/UN
190/05	5	LAMINAS PARA BISTURI N° 23  - CX. C/ 100 UN	0,108/UN
190/05	6	LAMINAS PARA BISTURI N° 24  - CX. C/ 100 UN	0,108/UN
190/06	3	SONDA ASPIRACAO TRAQUEAL, CALIBRE N° 08 - PAC.C/ 20 UN	0,47/UN
190/06	4	SONDA ASPIRACAO TRAQUEAL, CALIBRE N° 10 - PAC.C/ 20 UN	0,47/UN
190/06	7	SONDA ASPIRACAO TRAQUEAL, CALIBRE N° 16 - PAC.C/ 20 UN	0,49/UN
191/05	1	FILME P/ ULTRASSONOGRAFIA 110MMX20M - CX.C/ 05 ROLOS	22,75/RL
191/06	3.1	LIMA HEDSTROEN 21MM - 1ª SERIE - N° 08 - CX. C/ 06 UN	13,50/CX
191/06	3.2	LIMA HEDSTROEN 21MM - 1ª SERIE - N° 10 - CX. C/ 06 UN	13,50/CX
191/06	3.3	LIMA HEDSTROEN 21MM - 1ª SERIE - N° 15 - CX. C/ 06 UN	13,50/CX
191/06	3.4	LIMA HEDSTROEN 21MM - 1ª SERIE - N° 20 - CX. C/ 06 UN	13,50/CX
191/06	3.5	LIMA HEDSTROEN 21MM - 1ª SERIE - N° 25 - CX. C/ 06 UN	13,50/CX
191/06	3.6	LIMA HEDSTROEN 21MM - 1ª SERIE - N° 30 - CX. C/ 06 UN	13,50/CX
191/06	3.7	LIMA HEDSTROEN 21MM - 1ª SERIE - N° 35 - CX. C/ 06 UN	13,50/CX
191/06	3.8	LIMA HEDSTROEN 21MM - 1ª SERIE - N° 40 - CX. C/ 06 UN	13,50/CX
191/06	4.1	LIMA HEDSTROEN 21MM - 2ª SERIE - N° 45 - CX. C/ 06 UN	13,50/CX
191/06	4.2	LIMA HEDSTROEN 21MM - 2ª SERIE - N° 50 - CX. C/ 06 UN	13,50/CX
191/06	4.3	LIMA HEDSTROEN 21MM - 2ª SERIE - N° 55 - CX. C/ 06 UN	13,50/CX
191/06	4.4	LIMA HEDSTROEN 21MM - 2ª SERIE - N° 60 - CX. C/ 06 UN	13,50/CX
191/06	4.5	LIMA HEDSTROEN 21MM - 2ª SERIE - N° 70 - CX. C/ 06 UN	13,50/CX
191/06	4.6	LIMA HEDSTROEN 21MM - 2ª SERIE - N° 80 - CX. C/ 06 UN	13,50/CX
191/06	3.9	LIMA HEDSTROEN 25MM - 1ª SERIE - N° 08 - CX. C/ 06 UN	13,50/CX
191/06	3.10	LIMA HEDSTROEN 25MM - 1ª SERIE - N° 10 - CX. C/ 06 UN	13,50/CX
191/06	3.11	LIMA HEDSTROEN 25MM - 1ª SERIE - N° 15 - CX. C/ 06 UN	13,50/CX
191/06	3.12	LIMA HEDSTROEN 25MM - 1ª SERIE - N° 20 - CX. C/ 06 UN	13,50/CX
191/06	3.13	LIMA HEDSTROEN 25MM - 1ª SERIE - N° 25 - CX. C/ 06 UN	13,50/CX
191/06	3.14	LIMA HEDSTROEN 25MM - 1ª SERIE - N° 30 - CX. C/ 06 UN	13,50/CX
191/06	3.15	LIMA HEDSTROEN 25MM - 1ª SERIE - N° 35 - CX. C/ 06 UN	13,50/CX
191/06	3.16	LIMA HEDSTROEN 25MM - 1ª SERIE - N° 40 - CX. C/ 06 UN	13,50/CX
191/06	4.7	LIMA HEDSTROEN 25MM - 2ª SERIE - N° 45 - CX. C/ 06 UN	13,50/CX
191/06	4.8	LIMA HEDSTROEN 25MM - 2ª SERIE - N° 50 - CX. C/ 06 UN	13,50/CX
191/06	4.9	LIMA HEDSTROEN 25MM - 2ª SERIE - N° 55 - CX. C/ 06 UN	13,50/CX
191/06	4.10	LIMA HEDSTROEN 25MM - 2ª SERIE - N° 60 - CX. C/ 06 UN	13,50/CX
191/06	4.11	LIMA HEDSTROEN 25MM - 2ª SERIE - N° 70 - CX. C/ 06 UN	13,50/CX
191/06	4.12	LIMA HEDSTROEN 25MM - 2ª SERIE - N° 80 - CX. C/ 06 UN	13,50/CX
191/06	3.17	LIMA HEDSTROEN 31MM - 1ª SERIE - N° 08 - CX. C/ 06 UN	13,50/CX
191/06	3.18	LIMA HEDSTROEN 31MM - 1ª SERIE - N° 10 - CX. C/ 06 UN	13,50/CX
191/06	3.19	LIMA HEDSTROEN 31MM - 1ª SERIE - N° 15 - CX. C/ 06 UN	13,50/CX
191/06	3.20	LIMA HEDSTROEN 31MM - 1ª SERIE - N° 20 - CX. C/ 06 UN	13,50/CX
191/06	3.21	LIMA HEDSTROEN 31MM - 1ª SERIE - N° 25 - CX. C/ 06 UN	13,50/CX
191/06	3.22	LIMA HEDSTROEN 31MM - 1ª SERIE - N° 30 - CX. C/ 06 UN	13,50/CX
191/06	3.23	LIMA HEDSTROEN 31MM - 1ª SERIE - N° 35 - CX. C/ 06 UN	13,50/CX
191/06	3.24	LIMA HEDSTROEN 31MM - 1ª SERIE - N° 40 - CX. C/ 06 UN	13,50/CX
191/06	4.13	LIMA HEDSTROEN 31MM - 2ª SERIE - N° 45 - CX. C/ 06 UN	13,50/CX
191/06	4.14	LIMA HEDSTROEN 31MM - 2ª SERIE - N° 50 - CX. C/ 06 UN	13,50/CX
191/06	4.15	LIMA HEDSTROEN 31MM - 2ª SERIE - N° 55 - CX. C/ 06 UN	13,50/CX
191/06	4.16	LIMA HEDSTROEN 31MM - 2ª SERIE - N° 60 - CX. C/ 06 UN	13,50/CX
191/06	4.17	LIMA HEDSTROEN 31MM - 2ª SERIE - N° 70 - CX. C/ 06 UN	13,50/CX
191/06	4.18	LIMA HEDSTROEN 31MM - 2ª SERIE - N° 80 - CX. C/ 06 UN	13,50/CX
191/06	1.1	LIMA KERR 21MM - 1ª SERIE - N° 08 - CX. C/ 06 UN	13,50/CX
191/06	1.2	LIMA KERR 21MM - 1ª SERIE - N° 10 - CX. C/ 06 UN	13,50/CX
191/06	1.3	LIMA KERR 21MM - 1ª SERIE - N° 15 - CX. C/ 06 UN	13,50/CX
